CAUSE,DT,AGE,SEX,RACECOLOR,DEATH_COUNT,DEATH_RATE,DEATHS_STANDARDIZED,DEATHS_STANDARDIZED_BR
A162,2004-12-08,"[40.0, 45.0)",Female,Brown,1,0.5329382484451527,0.3928484803517268,0.5791372297345156
A162,2005-07-15,"[60.0, 65.0)",Male,White,1,0.48038815362813153,1.2997514979116112,0.867974050305374
A162,2006-06-08,"[65.0, 70.0)",Male,White,1,0.452716070062339,1.858440353293674,0.9132375896085115
A162,2007-08-25,"[80.0, 85.0)",Male,Brown,1,0.49395156310972144,10.691592275102195,1.5716640644400226
A162,2009-11-03,"[40.0, 45.0)",Male,Brown,1,0.530096212462562,0.3968974337096151,0.5517668123431071
A162,2009-11-22,"[65.0, 70.0)",Male,,1,0.530096212462562,2.1760928262009935,1.0693320147951684
A162,2010-07-26,"[50.0, 55.0)",Female,Brown,1,0.4717448426495077,0.6381829581297452,0.7451424219122905
A162,2011-09-17,"[65.0, 70.0)",Female,Brown,1,0.424962284597242,1.8737314135680863,1.078145055367077
A162,2013-03-07,"[55.0, 60.0)",Male,Brown,1,0.38774117501085675,0.6738637035294693,0.5801966487388731
A162,2018-07-29,"[75.0, 80.0)",Female,Brown,1,0.34263589796302957,3.3991656543951345,1.0992901726313866
A162,2018-10-31,"[25.0, 30.0)",Male,Black,1,0.34263589796302957,0.14672657500986191,0.27361571707839055
A162,2019-06-11,"[80.0, 85.0)",Male,Yellow,1,0.334306164271363,7.236064161717813,1.0637014317725184
A162,2019-06-19,"[60.0, 65.0)",Male,Brown,1,0.334306164271363,0.9045080202147266,0.6040304558993945
A162,2020-07-01,"[70.0, 75.0)",Male,Brown,1,0.32648157337999845,2.1009110256113153,0.7676728887583746
A162,2020-07-31,"[35.0, 40.0)",Male,Brown,1,0.32648157337999845,0.2019057349288797,0.3010414507789596
A162,2020-08-07,"[75.0, 80.0)",Male,Brown,1,0.32648157337999845,3.533350361255394,0.8458840764845412
A162,2022-01-04,"[50.0, 55.0)",Male,White,1,0.3121079144324942,0.403866348903331,0.4291483823446795
A162,2022-02-05,"[65.0, 70.0)",Male,Brown,1,0.3121079144324942,1.281231175831257,0.6295969998034797
A162,2022-05-02,"[75.0, 80.0)",Male,,1,0.3121079144324942,3.37779128173695,0.8086432328478257
A162,2022-07-31,"[60.0, 65.0)",Male,Black,1,0.3121079144324942,0.8444478204342375,0.5639222544859839
A162,2022-11-04,"[70.0, 75.0)",Male,Brown,1,0.3121079144324942,2.0084164377895375,0.733875366368297
A165,2010-09-07,"[30.0, 35.0)",Female,Brown,1,0.4717448426495077,0.21476137787922592,0.37974106836604726
A165,2011-06-29,"[75.0, 80.0)",Male,Brown,1,0.424962284597242,4.599158924212575,1.1010386464564903
A165,2011-10-11,"[60.0, 65.0)",Male,Brown,1,0.424962284597242,1.1497897310531437,0.7678295823972895
A165,2011-11-29,"[65.0, 70.0)",Male,Brown,1,0.424962284597242,1.7445085574599424,0.8572515051358158
A165,2011-12-03,"[65.0, 70.0)",Male,,1,0.424962284597242,1.7445085574599424,0.8572515051358158
A165,2012-03-13,"[80.0, 85.0)",Female,,1,0.41310364770520924,7.566000873721779,1.652414590820837
A165,2021-02-15,"[55.0, 60.0)",Male,Brown,1,0.3191329795212367,0.5546280492200846,0.4775347503784928
A169,1997-02-15,"[70.0, 75.0)",Female,Brown,1,1.0055809744079642,6.6506678201584934,3.044675728068559
A169,2003-07-14,"[60.0, 65.0)",Male,Brown,1,0.5808010407954651,1.5714313874336177,1.04940188052817
A169,2003-08-04,"[55.0, 60.0)",Male,White,1,0.5808010407954651,1.009386584628893,0.8690818493654768
A169,2005-02-13,"[65.0, 70.0)",Female,Brown,1,0.48038815362813153,2.118113552152255,1.218762537908408
A169,2010-06-19,"[40.0, 45.0)",Female,Brown,1,0.4717448426495077,0.3477405592285918,0.5126391324147901
A169,2010-12-04,"[60.0, 65.0)",Male,Brown,1,0.4717448426495077,1.2763659162594905,0.8523571588780878
A169,2013-06-13,"[55.0, 60.0)",Male,Brown,1,0.38774117501085675,0.6738637035294693,0.5801966487388731
A169,2018-02-19,"[30.0, 35.0)",Male,White,1,0.34263589796302957,0.1706694052415967,0.29030865831595604
A169,2019-01-20,"[35.0, 40.0)",Female,Brown,1,0.334306164271363,0.198495525633157,0.3109630904569038
A169,2019-03-14,"[75.0, 80.0)",Male,Brown,1,0.334306164271363,3.6180320808589066,0.8661568801576222
A169,2022-09-24,"[0.0, 5.0)",Female,Brown,1,0.3121079144324942,0.17004898901192883,0.25354304261678584
A182,2012-01-08,"[30.0, 35.0)",Female,White,1,0.41310364770520924,0.18806503127797922,0.33253658830572286
A182,2022-05-27,"[60.0, 65.0)",Male,Brown,1,0.3121079144324942,0.8444478204342375,0.5639222544859839
A188,2007-06-23,"[25.0, 30.0)",Female,Black,1,0.49395156310972144,0.1979924495389295,0.3767004344927673
A190,2013-03-16,"[55.0, 60.0)",Female,White,1,0.38774117501085675,0.7890540802011737,0.758912214337489
A190,2022-07-25,"[60.0, 65.0)",Male,Brown,1,0.3121079144324942,0.8444478204342375,0.5639222544859839
A199,1997-03-11,"[15.0, 20.0)",Male,,1,1.0055809744079642,0.49062303591333145,0.9252169211253605
A199,2007-10-23,"[65.0, 70.0)",Male,Brown,1,0.49395156310972144,2.027715776312485,0.9964195324799553
A199,2013-07-17,"[55.0, 60.0)",Male,Brown,1,0.38774117501085675,0.6738637035294693,0.5801966487388731
A199,2022-02-14,"[55.0, 60.0)",Male,Brown,1,0.3121079144324942,0.5424190379431598,0.4670227916690606
A231,2007-11-12,"[0.0, 5.0)",Female,,1,0.49395156310972144,0.2691247483435335,0.4012649997802084
A279,2005-01-05,"[20.0, 25.0)",Male,Brown,1,0.48038815362813153,0.19891849011516832,0.37762686163463555
A300,2000-06-09,"[30.0, 35.0)",Female,,1,0.750756387059963,0.34178111037966075,0.6043373593733161
A300,2017-09-24,"[85.0, 90.0)",Female,Black,1,0.3486908402403177,11.860232661235292,1.3449503837840824
